materia,dim,antes,despues,evidencia
Visualización y Pensamiento de Diseño,DV11,1,0,"No aparece: 'mapas mentales, diagramas de flujo, sistemas' refiere a diagramar sistemas como contenido, no a crear sistemas visuales de reglas consistentes y escalables."
Visualización y Pensamiento de Diseño,DV13,2,0,"No hay materialización técnica, pruebas, maquetas ni prototipos en fines, contenidos, actividades ni evaluación. El programa define el sketching como 'acto de pensar, no como dibujo final' y la nota excluye explícitamente la pieza terminada. Los sketches iterativos no son prototipos según la definic"
Visualización y Pensamiento de Diseño,NC1,2,0,"La evidencia es exacta: 'pares, docentes, clientes' (Fase 3) son solo receptores de la presentación del proceso. No existe estudio de necesidades, hábitos, motivaciones ni contextos de públicos en ningún apartado. La distinción 'bocetos para conversación vs presentación' es adecuación comunicativa ("
Visualización y Pensamiento de Diseño,NC2,3,0,"El 3 original era claramente erróneo: la ideación divergente/convergente genera propuestas de diseño (DV5), no detecta problemas u oportunidades donde el diseño produce valor. El candidato más cercano ('observación, curiosidad y razonamiento abductivo') está formulado como motor del proceso creativo"
Visualización y Pensamiento de Diseño,NC3,2,0,"'Generar, comunicar y sustentar propuestas de diseño' del fin de aprendizaje no equivale a definir beneficio y pertinencia de una oferta creativa (concepto de negocio). El programa nunca trata la propuesta de valor ni la pertinencia de una oferta; el 2 original conflaba 'propuesta de diseño' con 'pr"
Visualización y Pensamiento de Diseño,NC4,1,0,"No aparece en el programa ninguna referencia a posicionamiento, competidores o diferenciación."
Visualización y Pensamiento de Diseño,NC5,2,0,"La retroalimentación del programa son 'sesiones de crítica' con compañeros y docente sobre el proceso documentado, aplicando criterios de claridad de pensamiento y consistencia metodológica — eso es DV15, no comprobación de pertinencia, deseabilidad, adopción o funcionamiento con usuarios. No hay us"
Visualización y Pensamiento de Diseño,NC6,2,0,"La nota del programa excluye explícitamente la oferta implementable ('no la pieza terminada') y los entregables evaluados (cuaderno de ideación, sketchbook, bitácora visual, presentación del proceso, reportes de lectura) no incluyen producto, servicio ni experiencia. No hay transformación de idea en"
Visualización y Pensamiento de Diseño,NC9,1,0,"No aparece: 'sketching digital: tableta y lápiz como extensión del cuaderno' es herramienta de razonamiento, no organización de recursos, proveedores o procesos de ejecución."
Visualización y Pensamiento de Diseño,NC11,1,0,"No aparece: 'criterios para distinguir la idea válida de la idea descartable' es juicio del proceso creativo (DV15), no viabilidad ni sostenibilidad operativa."
Visualización y Pensamiento de Diseño,NC12,1,0,"No aparece: 'clientes' se menciona una sola vez como audiencia de la presentación del proceso; no hay coordinación de alcance, recursos, equipos ni entregables."
Contexto Cultural del Diseño,DV2,1,0,No aparece en el programa: ningún contenido ni actividad trata composición u organización espacial.
Contexto Cultural del Diseño,DV3,1,0,"No aparece en el programa: la tipografía no se menciona en contenidos, objetivos ni actividades."
Contexto Cultural del Diseño,DV4,2,0,"La evidencia citada existe (act. bajo conducción: 'Realizar consultas e investigaciones sobre... producciones visuales más relevantes') y el auditor la interpreta bien: es análisis de obra ajena, que mapea a DV12/DV15, no a DV4. En ningún objetivo, contenido o actividad hay creación o tratamiento de"
Contexto Cultural del Diseño,DV5,2,1,"El auditor refuta correctamente el 2: los 'proyectos de alto nivel crítico' son análisis cultural, no construcción de conceptos de diseño por el alumno. Pero 0 exige que la dimensión no aparezca en objetivos ni contenidos, y la articulación intención-forma-contenido sí aparece como objeto de estudio"
Contexto Cultural del Diseño,DV6,2,1,"Se introduce como tema, no se aplica: '1.3 El diseño gráfico como comunicación' y '2.3 Diseño gráfico, propaganda e ideología' — se analizan mensajes, el alumno no los formula."
Contexto Cultural del Diseño,DV8,1,0,
Contexto Cultural del Diseño,DV9,1,0,
Contexto Cultural del Diseño,DV12,3,2,Evidencia textual verificada: 'Aplicar las metodologías de la investigación de la cultura de diseño en ejercicios prácticos' y 'Realizar breves investigaciones bajo la dirección del profesor'. Aplicar en ejercicios es la definición literal del nivel 2. No es 3: el resultado central evaluable (fin de
Contexto Cultural del Diseño,NC1,2,1,"Introducción conceptual, no aplicación a públicos: el fin de aprendizaje menciona 'hábitos de consumo, globalización e identidades' y el tema '2.4 Identidad corporativa y cultura de consumo'; no hay estudio de audiencias para una oferta."
Contexto Cultural del Diseño,NC2,2,1,"La justificación 'No aparece en el programa' es falsa en sentido estricto: la unidad 3 ('La responsabilidad social del diseño', 'Diseño centrado en la humanidad', 'Diseño desde la comunidad') introduce temáticamente los espacios donde el diseño produce valor social. El auditor acierta en que el alum"
Contexto Cultural del Diseño,NC3,1,0,No aparece en el programa: no se define beneficio ni pertinencia de una oferta creativa.
Contexto Cultural del Diseño,NC4,1,0,"No aparece: 'identidad corporativa' se estudia como fenómeno histórico-cultural, no como posicionamiento frente a competidores."
Contexto Cultural del Diseño,NC6,1,0,No aparece en el programa: no se transforma ninguna idea en oferta implementable.
Contexto Cultural del Diseño,NC8,1,0,No aparece en el programa: la propiedad intelectual no se menciona.
Contexto Cultural del Diseño,NC10,1,0,"No aparece: 'cultura de consumo' es crítica cultural, no canales, promoción, venta ni distribución."
Contexto Cultural del Diseño,NC11,1,0,"No aparece: la 'responsabilidad social del diseño' (tema 3.1) es ética del diseño, no viabilidad operativa de una iniciativa."
Contexto Cultural del Diseño,NC12,0,1,"Sube con evidencia: actividad independiente 'Gestionar tareas en trabajos en equipo' — mención básica de coordinación de equipo, sin contenido ni evaluación de gestión de proyectos."
"Estudio de Forma, Color y Estructura",DV4,1,0,"Verificado contra el programa completo: no existe fotografía, ilustración ni tratamiento de imagen en fin de aprendizaje, contenido temático, actividades ni evaluación. 'Producir propuestas gráficas' (actividad bajo conducción) refiere a composiciones con sistemas de organización visual, no a creaci"
"Estudio de Forma, Color y Estructura",DV5,2,1,"La cita del auditor existe verbatim en el fin de aprendizaje ('...intención comunicativa'). Intenté refutar: 'Fundamentar decisiones visuales mediante reflexiones escritas' es argumentación (DV15) y 'bocetos, pruebas y bitácoras' es proceso (DV12), no construcción de conceptos. Ningún contenido ni a"
"Estudio de Forma, Color y Estructura",DV11,1,3,"Evidencia verificada literal: el fin de aprendizaje define como resultado 'diseñar composiciones visuales coherentes en sistemas formales, cromáticos y reticulares... integrando piezas para distintos soportes y formatos'; la actividad 'Producir propuestas gráficas para distintos formatos aplicando s"
"Estudio de Forma, Color y Estructura",NC6,1,0,"No hay en ningún apartado transformación de ideas en ofertas implementables: las propuestas gráficas son ejercicios compositivos académicos sin dimensión de producto, servicio o experiencia, sin usuario, mercado ni implementación. El 1 original carece de evidencia incluso como introducción. Escala: "
Principios de la Tipografía,DV8,2,0,"Refutación fallida: el programa no contiene medios editoriales, retículas, páginas ni organización secuencial de textos e imágenes en contenidos, actividades ni evaluación. Prosa/tracking/kerning/interlineado son microtipografía (DV3), 'Composición' es composición tipográfica y 'Desarrollo de la imp"
Principios de la Tipografía,DV13,1,0,"Refutación fallida: no existen maquetas, prototipos, pruebas ni materialización técnica en contenido temático, actividades conducidas/independientes ni criterios de evaluación. Las 'propuestas de diseño visual' con retroalimentación son iteración de propuestas (DV12), no prototipado; 'Funciones Open"
Principios de la Tipografía,NC11,0,1,"La evidencia existe verbatim en el contenido temático (Sostenibilidad: Ambiental, Social, Económica, bajo Tipografía contemporánea). Es introducción conceptual pura: no aparece en ninguna actividad de aprendizaje ni en los criterios de evaluación, sin aplicación en ejercicios. Corresponde exactament"
Ilustración Aplicada,DV3,1,0,"No aparece en el programa; la tipografía solo figura en la nota como materia paralela ('Tipografía I: Fundamentos'), no como contenido propio."
Ilustración Aplicada,DV7,1,2,"Evidencia verificada: Fase 3 (sistemas de ilustración para identidad de marca) y proyecto para 'una marca real o ficticia' con 8 piezas. Es aplicación dentro de un proyecto (nivel 2), no nivel 3: lo evaluado centralmente en el 30% es el sistema de ilustración (DV11), no la construcción de la identid"
Ilustración Aplicada,DV8,1,2,"Evidencia verificada: criterio del 25% (serie de tres ilustraciones editoriales sobre textos reales) y contenidos de ritmo/jerarquía/legibilidad y narrativa visual. Se aplica la dimensión editorial dentro de un proyecto evaluado (nivel 2), pero no es 3: el resultado evaluable es la ilustración para "
Ilustración Aplicada,DV9,1,0,"No aparece en el programa; el 'tratamiento gráfico de temas complejos' es ilustración editorial de temas, no síntesis ni visualización de datos/información."
Ilustración Aplicada,DV11,1,3,"Evidencia verificada e irrefutable: el fin de aprendizaje nombra 'sistemas gráficos para marca y producto digital'; el criterio de mayor peso (30%) es 'Sistema de ilustración para marca con manual de estilo' con lineamientos, y el contenido exige un 'sistema mínimo de ilustración coherente y aplicab"
Ilustración Aplicada,DV13,2,3,Evidencia verificada: criterio evaluable del 20% 'Pieza de indumentaria producida con ilustración propia' y actividad que exige 'separación de color y proceso documentado de serigrafía o sublimación'. La materialización técnica no es solo vehículo: el criterio evalúa la pieza producida y el proceso 
Ilustración Aplicada,NC2,1,0,"No aparece en el programa; el 'panorama actual de la ilustración en industrias creativas' es contexto de referentes, no detección de oportunidades de valor."
Ilustración Aplicada,NC3,1,0,No aparece en el programa; 'valor estético' no es definición de propuesta de valor de una oferta.
Ilustración Aplicada,NC4,1,0,"No aparece en el programa; 'estilo, voz y narrativa visual' es construcción de voz artística, no posicionamiento frente a competidores."
Ilustración Aplicada,NC5,1,0,"No aparece en el programa; las críticas son grupales y con el docente, no validación con usuarios o públicos reales."
Ilustración Aplicada,NC8,1,0,"No aparece como contenido; solo se pide usar textos publicados 'con créditos correctos', que es atribución académica, no formación en propiedad intelectual."
Ilustración Aplicada,NC10,1,0,"No aparece en el programa; ilustrar 'para redes sociales y boletines digitales' o 'páginas de comunicación de marca' es soporte del medio, no contenido de comercialización o distribución."
Ilustración Aplicada,NC11,1,0,"No aparece en el programa; no hay contenido de viabilidad, operación ni sostenibilidad."
Ilustración Aplicada,NC12,1,0,"No aparece en el programa; no hay clientes, briefs, alcance ni coordinación de proyectos ('entregas parciales' son revisiones académicas con el docente)."
Lenguaje y Significado en el Diseño,DV1,3,2,"El lenguaje visual se aplica dentro de proyectos (6.3 propuestas gráficas, 6.4 sistemas visuales en cartel y marca; proyectos de cartel 20% y marca 20%), pero los elementos formales de DV1 (forma, color, contraste, escala, ritmo, jerarquía) no aparecen como contenido temático ni como criterio: la ev"
Lenguaje y Significado en el Diseño,DV3,2,0,"Tipografía no aparece en fines, contenido temático (unidades 1-6), actividades, criterios de evaluación ni modalidades tecnológicas. 'Redacción creativa' (5.7) es construcción verbal de mensajes (copy), no sistemas tipográficos. El uso implícito de letras en un cartel no cuenta: la escala exige apar"
Lenguaje y Significado en el Diseño,DV4,2,1,"Solo 'exploración conceptual mediante bocetaje' (4.2) como herramienta de ideación; no hay creación ni tratamiento de fotografía, ilustración o imagen como producto."
Lenguaje y Significado en el Diseño,DV8,1,0,"No aparece en el programa: sin medios editoriales; el 'documento creativo de referencia' (3.7) es un brief, no organización secuencial texto-imagen."
Lenguaje y Significado en el Diseño,DV13,0,1,'Simulación de aplicaciones visuales' (6.5): introduce maquetas/simulaciones de aplicación de las propuestas.
Lenguaje y Significado en el Diseño,NC3,2,0,"El único eco es 'propuestas de diseño pertinentes a distintos contextos' en el fin, pero esa pertinencia es adecuación comunicacional al contexto (DV6), no definición de beneficio u oferta de valor: no existe contenido, actividad ni criterio sobre beneficio, oferta o propuesta de valor (ni en 3.7 do"
Lenguaje y Significado en el Diseño,NC4,2,0,"No hay mención de posicionamiento, diferenciación, alternativas ni competidores. 2.5 'Estudio de públicos y mercado' es comprensión contextual dentro de la unidad de investigación; 2.4 'Análisis de referentes visuales' es estudio de referentes gráficos para comunicación, no benchmarking competitivo;"
Lenguaje y Significado en el Diseño,NC5,1,0,No aparece en el programa: las entrevistas (2.3) son investigación previa para comprender contexto; no hay comprobación de propuestas con usuarios.
Lenguaje y Significado en el Diseño,NC8,1,0,"No aparece en el programa: ninguna mención de propiedad intelectual, registro o derechos."
Lenguaje y Significado en el Diseño,NC10,1,0,"No aparece en el programa: sin canales, promoción, venta ni distribución; lo 'comercial' figura solo como contexto (1.6)."
Lenguaje y Significado en el Diseño,NC11,1,0,"No aparece en el programa: sin viabilidad, operación ni sostenibilidad de una iniciativa."
"Estudio de Identidad, Forma y Significado",DV4,2,0,"No existe fotografía, ilustración ni tratamiento de imagen en objetivos, contenidos ni actividades. El bocetaje y la abstracción del referente (1.3) son proceso de síntesis del signo gráfico (DV1/DV5/DV12), no creación de imagen. El 0 es defendible."
"Estudio de Identidad, Forma y Significado",DV9,1,2,"Evidencia verificada: actividad 'Construir sistemas básicos de signos y pictogramas mediante el uso de retículas' y unidad 3.1 (pictogramas, señalización, navegación visual). Es aplicación en ejercicios = 2; no es 3 porque el resultado central evaluable es el sistema de identidad, no un sistema de i"
"Estudio de Identidad, Forma y Significado",DV10,1,0,"Lo 'digital' del programa es adaptación de medios ('5.3.1 Adaptación en medios impresos y digitales'); no hay diseño de interfaces, comportamientos ni interacción."
"Estudio de Identidad, Forma y Significado",DV14,2,1,"Introduce el concepto ('3.2.3 Lenguaje visual coordinado', '4.1.2 Valores y atributos de identidad') pero no hay ejercicio de definición/supervisión del lenguaje visual como dirección de arte."
"Estudio de Identidad, Forma y Significado",NC1,2,1,"Solo introducción semiótica de la recepción: '1.2.2 Contexto cultural y significado' y '1.2.3 Percepción y reconocimiento visual'; no hay estudio de necesidades, hábitos o motivaciones de públicos."
"Estudio de Identidad, Forma y Significado",NC2,2,1,"La evidencia 'No aparece' es refutable: 4.2.1 'Brief y definición del problema' existe y cae textualmente en NC2 ('Detección de problemas... donde el diseño puede producir valor'), lo que da nivel 1 (introduce herramienta básica). Pero el 2 original tampoco se sostiene: ninguna actividad pide a los "
"Estudio de Identidad, Forma y Significado",NC3,2,0,"'Propuestas de comunicación visual pertinentes' describe calidad comunicativa, no definición de beneficio u oferta. 'Valores y atributos de identidad' (4.1.2) es conceptualización de marca (DV5/DV7), no propuesta de valor. No aparece la dimensión."
"Estudio de Identidad, Forma y Significado",NC4,3,0,"No hay posicionamiento, competidores, alternativas ni diferenciación en ninguna parte del programa. El análisis de referentes es formal-histórico ('identificar principios de representación, síntesis y construcción de significado'), no competitivo. El 3 original era indefendible."
"Estudio de Identidad, Forma y Significado",NC5,2,0,"La 'validación de propuestas' (4.3) es argumentativa (fundamentación conceptual, coherencia formal-semántica, presentación y defensa) y la retroalimentación proviene del académico. No existe comprobación de pertinencia, deseabilidad o funcionamiento con usuarios en el programa."
"Estudio de Identidad, Forma y Significado",NC6,2,0,"El entregable es un sistema básico de identidad visual con aplicación a medios impresos y digitales (5.3); eso es implementación de un artefacto de diseño (DV11/DV13), no transformación de una idea en una oferta implementable (producto, servicio o experiencia)."
"Estudio de Identidad, Forma y Significado",NC8,1,0,"No aparece propiedad intelectual, registro de marca ni derechos en el programa."
"Estudio de Identidad, Forma y Significado",NC9,1,0,"El 'software especializado de dibujo vectorial' y la unidad 5 son materialización técnica (cubierta en DV13); no hay organización de recursos, proveedores, tiempos ni procesos de ejecución."
"Estudio de Identidad, Forma y Significado",NC10,1,0,"No aparece comercialización, canales, promoción ni distribución en el programa."
"Estudio de Identidad, Forma y Significado",NC11,1,0,"No aparece viabilidad, sostenibilidad ni condiciones reales de operación en el programa."
"Estudio de Identidad, Forma y Significado",NC12,1,0,"No hay gestión de clientes, equipos ni entregables; el 'brief' (4.2.1) es parte de la metodología proyectual, no coordinación de proyecto con cliente."
Fundamentos de Diseño de Información,DV3,2,0,"La evidencia del auditor es exacta: el programa no menciona tipografía en fin, contenidos, actividades ni evaluación. '2.3 Claridad y legibilidad visual' trata claridad perceptual de la pieza, no selección, composición ni sistemas tipográficos (definición DV3). Aunque la legibilidad roza lo tipográf"
Fundamentos de Diseño de Información,DV4,2,0,"Irrefutable: no existe mención de fotografía, ilustración, imagen ni su tratamiento en ninguna sección del programa (contenidos 1-4, actividades, criterios). El 2 original no tenía anclaje textual. 0 correcto."
Fundamentos de Diseño de Información,DV5,2,0,"La lectura del auditor es correcta: '3.3 Síntesis y simplificación' pertenece al temario de esquematización visual (síntesis de información, DV9), no a construcción de conceptos que articulen intención-forma-contenido. Tampoco 'Elaboración de propuestas compositivas' (composición, DV2) ni actividad "
Fundamentos de Diseño de Información,DV6,3,2,"El fin de aprendizaje ('representar datos de forma clara, organizada y comprensible') es de visualización, no de formulación de mensajes para públicos o contextos específicos: el programa nunca menciona públicos, audiencias ni contextos. Pero '1.1 Comunicación visual de información' es contenido y l"
Fundamentos de Diseño de Información,DV8,1,0,No aparece en el programa: sin organización secuencial de textos e imágenes ni medios editoriales.
Fundamentos de Diseño de Información,DV10,1,0,"No aparece en el programa: sin interfaces, comportamientos ni experiencias digitales/interactivas."
Fundamentos de Diseño de Información,DV11,2,0,"No hay creación de reglas o sistemas visuales consistentes, adaptables o escalables en el programa. '4.3 Selección visual según tipo de información' y '4.1 Variables visuales' son criterios de representación de datos (DV9), no formulación de sistemas. '3.4 Representación de estructuras y procesos' r"
Fundamentos de Diseño de Información,DV12,3,2,"Las actividades 'Investigar de referentes visuales' y 'Desarrollar iterativo de ejercicios visuales' existen textualmente y son aplicación explícita de investigación y proceso iterativo, lo que descarta 0-1. Pero el fin de aprendizaje no incluye investigación/proceso y los criterios de evaluación (l"
Fundamentos de Diseño de Información,DV15,3,2,"'Analizar de casos de visualización' y 'Revisar y retroalimentar de proyectos' aplican crítica y evaluación de decisiones dentro de la dinámica del curso (nivel 2), pero la argumentación/justificación no figura en el fin de aprendizaje ni existe un entregable evaluable de argumentación en los criter"
Fundamentos de Diseño de Información,NC1,2,0,"El programa no estudia necesidades, hábitos, motivaciones ni contextos de públicos en ningún apartado. 'Comprensible' en el fin es atributo de calidad de la pieza (claridad de la representación), no comprensión de audiencias como objeto de estudio; no se introducen conceptos de audiencia que justifi"
Fundamentos de Diseño de Información,NC2,1,0,No aparece en el programa: sin detección de problemas u oportunidades de valor.
Fundamentos de Diseño de Información,NC3,1,0,No aparece en el programa: sin definición de beneficio o pertinencia de una oferta creativa.
Fundamentos de Diseño de Información,NC5,1,0,"No aparece en el programa: 'Revisar y retroalimentar de proyectos' es retroalimentación docente/entre pares, no comprobación con usuarios."
Fundamentos de Diseño de Información,NC6,1,0,"No aparece en el programa: las piezas de visualización son ejercicios académicos, sin transformación de una idea en oferta implementable."
Fundamentos de Diseño de Información,NC9,1,0,"No aparece en el programa: sin organización de recursos, proveedores, tiempos ni procesos de ejecución."
Fundamentos de Diseño de Información,NC11,1,0,"No aparece en el programa: sin análisis de operación, sostenibilidad ni condiciones reales."
Fotografía para Diseño,DV2,2,3,"Evidencia verificada: el fin de aprendizaje nombra explícitamente 'reglas y principios compositivos de la imágen' (línea 14), existen los contenidos 1.3.4-1.3.6 más 2.1.6, hay actividad independiente de aplicar composición en el estudio, y el 40% de práctica evalúa la aplicación de esos conceptos. A"
Fotografía para Diseño,DV5,2,3,"Evidencia verificada con error menor de cita (moodboard 2.2.3, conceptualización 2.2.4 y bocetaje 2.2.5 son de Unidad 2, no 3), pero la sustancia es más fuerte: 'conceptualizadas para distintos medios y necesidades de diseño' está textual en el fin de aprendizaje, la Unidad 3 completa es fotografía "
Fotografía para Diseño,DV6,3,2,La rebaja 3→2 es defendible: DV6 exige formular mensajes para públicos y contextos específicos como resultado. El programa solo aplica comunicación visual dentro de proyectos vía 'Narrativa visual' (3.1.5) y 'Fotografía comercial conceptualizada' (2.2.1); menciona 'distintos medios y necesidades de 
Fotografía para Diseño,DV7,1,0,"No aparece en el programa: ningún contenido de identidad, marca o lenguajes de reconocimiento."
Fotografía para Diseño,DV8,1,0,"No aparece: ""Fotoreportaje"" (1.3.1) es un género fotográfico, no organización de textos e imágenes en medios editoriales."
Fotografía para Diseño,DV10,1,0,No aparece: la fotografía digital y el retoque en Photoshop no son diseño de interfaces ni experiencias interactivas.
Fotografía para Diseño,DV11,1,0,"No aparece: no hay creación de reglas visuales consistentes/escalables; los ""esquemas de iluminación"" (2.2.6) son técnica de toma."
Fotografía para Diseño,NC1,1,0,"No aparece: el programa no menciona públicos, audiencias ni sus necesidades; ""necesidades de diseño"" refiere a requerimientos del medio, no a audiencias."
Fotografía para Diseño,NC2,1,0,No aparece en el programa (sin detección de problemas u oportunidades de valor).
Fotografía para Diseño,NC3,1,0,No aparece en el programa (sin definición de beneficio o pertinencia de una oferta).
Fotografía para Diseño,NC4,1,0,"No aparece en el programa (sin competidores, alternativas ni posicionamiento)."
Fotografía para Diseño,NC5,1,0,"No aparece: la ""autoevaluación y evaluación entre compañeros"" es crítica académica de pares, no validación con usuarios."
Fotografía para Diseño,NC6,2,0,"La rebaja 2→0 es defendible: NC6 es transformar una idea en oferta implementable de producto/servicio/experiencia. El 'proyecto fotográfico profesional' (3.2.1) es una pieza visual con pipeline de producción fotográfica, no una oferta de negocio. Búsqueda adversarial de un nivel 1 falla: 'fotografía"
Fotografía para Diseño,NC8,1,0,"No aparece: ningún contenido sobre derechos de autor, registro o aprovechamiento de obras/marcas."
Fotografía para Diseño,NC10,1,0,"No aparece: ""Fotografía comercial conceptualizada"" (2.2.1) es un género fotográfico, no canales, promoción, venta ni distribución."
Fotografía para Diseño,NC11,1,0,"No aparece en el programa (sin costos, operación ni sostenibilidad)."
Fotografía para Diseño,NC12,1,0,"No aparece: no hay clientes, alcance, riesgos ni coordinación de equipos como contenido; la presentación de proyectos (10%) corresponde a DV15."
Tipografía Aplicada,DV1,3,2,"La evidencia existe: contraste, escala, ritmo y jerarquía se trabajan vía 'variables tipográficas', 'mancha tipográfica', tipografía de bloque/énfasis (contenido temático y actividad de composición tipográfica en clase). Pero el fin de aprendizaje y el criterio ponderado central (25% propuestas + 25"
Tipografía Aplicada,DV4,1,0,"No aparece en el programa: ningún contenido, objetivo ni actividad menciona fotografía, ilustración o tratamiento de imagen."
Tipografía Aplicada,DV5,3,0,"Intenté refutarlo buscando construcción de conceptos: 'Criterios estéticos y funcionales' son criterios de aplicación, no conceptualización; 'comunicar contenidos de manera clara' es comunicación visual (DV6), no construcción de un concepto rector que articule intención, forma y contenido. Ninguna a"
Tipografía Aplicada,DV7,2,0,"Verificado contra el texto completo: no hay mención de marca, identidad, lenguajes de reconocimiento ni nada asimilable en fin de aprendizaje, contenido temático, actividades o criterios de evaluación. El programa es íntegramente tipografía editorial (retículas, compaginación, publicaciones). El 2 o"
Tipografía Aplicada,DV9,1,0,"No aparece en el programa: no hay visualización de datos, infografía ni síntesis de información."
Tipografía Aplicada,DV10,1,2,"La evidencia citada existe textualmente: contenido 'Diseño de publicaciones digitales / Publicaciones web / Publicaciones para dispositivos móviles' y actividad 'Diseñar propuestas de publicaciones impresas y digitales' (bajo conducción e independiente), más 'experiencia de lectura' en el fin de apr"
Tipografía Aplicada,DV12,3,2,"La evidencia existe: análisis de referentes ('identificar y documentar los sistemas tipográficos y reticulares'), fichas de análisis, e iteración explícita (presentar avances, retroalimentación, 'integrar ajustes y mejoras'), con ponderación parcial (análisis crítico 10% + avances 20%). Intenté defe"
Tipografía Aplicada,DV14,2,0,"No hay definición ni supervisión de un lenguaje visual de proyecto en ningún apartado. El único argumento refutatorio sería que diseñar un sistema editorial 'define un lenguaje visual', pero eso corresponde a DV11/DV3, no a dirección de arte como rol de definición y supervisión (no hay coordinación "
Tipografía Aplicada,DV15,3,2,"La evidencia existe: 'Participación en la discusión y análisis crítico de referentes editoriales en clase 10%' y 'evaluando su pertinencia según el tipo de publicación' (actividad de retículas). Hay crítica y evaluación aplicadas y con ponderación menor, pero no se exige justificar/argumentar las de"
Tipografía Aplicada,NC1,1,0,"No aparece: ""lecturabilidad y experiencia de lectura"" son criterios tipográficos de legibilidad, no comprensión de necesidades, hábitos o contextos de públicos; no hay contenido ni actividad de audiencias."
Tipografía Aplicada,NC2,1,0,No aparece en el programa: no hay detección de problemas u oportunidades de valor.
Tipografía Aplicada,NC3,1,0,No aparece en el programa: no se define beneficio ni pertinencia de una oferta creativa.
Tipografía Aplicada,NC4,2,0,"No aparece posicionamiento ni diferenciación frente a alternativas o competidores en ningún apartado. 'Evaluando su pertinencia según el tipo de publicación' se refiere a idoneidad técnica de la retícula, no a posicionamiento de una oferta en un mercado. El 2 original carecía de evidencia; 0 es corr"
Tipografía Aplicada,NC5,1,0,"No aparece: la retroalimentación es del académico en clase (""Presentar avances... para recibir retroalimentación""), no validación con usuarios o lectores reales."
Tipografía Aplicada,NC6,1,0,"No aparece: las publicaciones son ejercicios de diseño editorial, no transformación de una idea en oferta implementable de producto/servicio."
Tipografía Aplicada,NC8,1,0,"No aparece en el programa: no se menciona propiedad intelectual, licencias tipográficas ni derechos."
Tipografía Aplicada,NC9,1,0,"No aparece: no hay organización de recursos, proveedores, tiempos ni procesos de producción; los formatos estándar y márgenes son contenido tipográfico-editorial, no gestión de implementación."
